algo,nnmodel_train_rmse,autokerasmodel_train_rmse,nnmodel_test_rmse,autokerasmodel_test_rmse,nnmodel_train_medae,autokerasmodel_train_medae,nnmodel_test_medae,autokerasmodel_test_medae,nnmodel_train_medape,autokerasmodel_train_medape,nnmodel_test_medape,autokerasmodel_test_medape
603.bwaves_s,0.11540714307372515,0.1720456909080415,0.19361287659444884,0.2146043942430885,0.03719030534001663,0.07364791689825137,0.04315385298818822,0.0771965983432826,5.342441372182522,10.456712500711454,5.9823348188173675,10.72241482819198
607.cactuBSSN_s,0.1299731732258286,0.16270080842973436,0.11483899288744276,0.18446684586839723,0.022118323289650743,0.05598151905671811,0.02262637687556622,0.0600981695803007,3.8277901428254624,8.396170374599611,3.7064102095616085,9.99342254328848
619.lbm_s,0.3661422639422808,0.36273045189583597,0.37112462524302037,0.38777595683937344,0.03209329740588712,0.06965820703204682,0.03639036699718968,0.07884180885609549,6.267014497626011,14.630721452150507,6.883307260472268,16.254684025461913
621.wrf_s,0.1487730964489086,0.20723531033138007,0.17698469721845572,0.2714025900271937,0.03711791201767167,0.10193296591142098,0.04964704291762012,0.10048116719007211,3.246255931046923,9.030996640463055,4.30375113146434,9.024484656049545
627.cam4_s,0.13573785854905016,0.4032664904291873,0.9886676055371665,0.27870131297084844,0.02664559983527942,0.12584357363893217,0.03162612902866635,0.11818025076643496,3.996975979999992,17.06750498335738,4.992094249278178,16.1349875518699
628.pop2_s,0.18346102785710908,0.2524329198834701,0.20335482341887404,0.2332952316559768,0.0765814721469843,0.10552138780085574,0.08735949861574316,0.10203234360722839,4.52477450869875,5.940592012376433,5.057071097051575,6.009033770508825
638.imagick_s,0.1399859407021709,0.170922987218945,0.1255192153225718,0.20154832948304854,0.01586516902426996,0.06596327687288922,0.01834370186853522,0.07503036985725997,4.618989063278618,18.03952747944113,5.140557763939608,19.80933609664408
644.nab_s,0.17360508602680216,0.21395041923052788,0.1519073502571791,0.2668347085872156,0.03135795693157196,0.07789336419397278,0.032445245865130756,0.08124528512645884,5.702416799174414,12.1072318098678,6.261289583056994,12.44954206661836
649.fotonik3d_s,0.132000664733035,0.1337087430438163,0.11606943664054344,0.18787298710383962,0.04833704268909972,0.06465236691010334,0.0520845196828774,0.07005880955231863,4.856327687695716,6.204140104069056,4.887666501340428,6.1592028643044365
654.roms_s,0.09132465009207946,0.10284546512475973,0.10198617219556068,0.14054480814914616,0.029847165915850737,0.05264452197264552,0.032021725207601937,0.050846055273218366,6.158728216343282,10.650495840701307,6.868287464208976,10.067832300496871
416.gamess,0.13295059723929945,0.9709975798708105,0.3059659494055303,0.9848310631021733,0.04972767104932618,0.45991216330385276,0.05293075925495015,0.5407883242456296,1.7793548864840685,16.192012896333395,1.9070282412890998,17.421801128378448
433.milc,0.15986944810960454,0.4084077834290765,0.2614866189670854,0.3926839614861023,0.026143645742647492,0.21257965248200608,0.03060167633582897,0.21281651570871135,3.067661220635473,23.571875638916488,3.694220512775834,23.962961732171735
434.zeusmp,0.15000268375106166,0.25617703009365367,0.26745137557570453,0.34597403286097744,0.01907579491029593,0.06177760081763414,0.026091599346779792,0.09145141063502293,3.061216402599456,9.042023730839322,3.774784471478355,10.547637266252647
435.gromacs,0.12421025998512289,0.3393304070897095,0.2857087400677271,0.48528722997417445,0.025323748988138134,0.16184481527495154,0.0325464860192235,0.21296611042135222,1.2206983618942355,7.7073933443525675,1.6285362399158823,9.785881067856067
437.leslie3d,0.15777031749018902,0.2333789415248599,0.23314456576072654,0.30354487094577265,0.026043887417391776,0.06630951039619126,0.03250085841783812,0.0813608724487627,4.632969019208897,11.937609686288136,5.360624250091914,13.917620006637417
447.dealII,0.170770194794915,0.42052357349089037,0.31760033306715024,0.49505205931240337,0.03403818926803209,0.2049965718594775,0.04270110443506814,0.2123919147945777,1.7187438024149877,9.699742988336608,1.9576613879356906,9.622475341338468
450.soplex,0.09557025341840256,0.22689110542241916,0.16608169297826747,0.29154526785031804,0.02834999849194153,0.11530646116212495,0.040152785616248854,0.13435600037635326,1.6577316998836247,6.182684405861297,2.155860382885777,7.09392439727864
453.povray,0.10199573530588786,0.45125980222164874,0.2343411556906481,0.4990333371940243,0.03520501141491757,0.2810020344655879,0.03628591150890734,0.30790250863340163,1.6222882618275987,13.39590771437803,1.7589940644171649,13.846683245475187
454.calculix,0.1202600417801191,0.3268561421058883,0.3229500922712225,0.41125183731329223,0.029311737094319723,0.12651316188945894,0.03517295615054972,0.1690572352692056,1.6761607822072018,7.461013157275982,2.121855292789686,8.816441747338398
