algo,0,1,2,3,4,5,6,7,8,9
603.bwaves_s,0.17557308829826945,0.04525455872059969,0.03719030534001663,,,,,,,
607.cactuBSSN_s,0.21018751398094157,0.041649781238935785,0.03164553600498979,0.025917322433298695,0.02618636351883169,0.022118323289650743,,,,
619.lbm_s,0.13203750282221483,0.05038022213791087,0.03851135862752575,0.03209329740588712,,,,,,
621.wrf_s,0.19470559866070247,0.07716522920987107,0.06677323326598972,0.06253908155507476,0.046337642954913605,0.04595744054654144,0.04471509653504813,0.04389665370755239,0.03711791201767167,
627.cam4_s,0.2223697787568244,0.06253633422085714,0.060786544923404406,0.04338093921095815,0.03192862700923621,0.03206030345596533,0.02664559983527942,,,
628.pop2_s,0.20646629568160046,0.10871846984414035,0.09769383842623192,0.07501386773104773,0.0765814721469843,,,,,
638.imagick_s,0.1630849832506849,0.03578416151866065,0.03128823160998273,0.02236846206535792,0.01586516902426996,,,,,
644.nab_s,0.21583018921184338,0.05821438110841354,0.07444042522473182,0.028592523776624357,0.023981711546580464,0.03135795693157196,,,,
649.fotonik3d_s,0.1770092963050682,0.04833704268909972,,,,,,,,
654.roms_s,0.19190486708504362,0.04198215764795801,0.03510837259120636,0.0351290530899373,0.03083912993847926,0.029791695568880172,0.029136961088377766,0.02674685262288079,0.029847165915850737,
416.gamess,0.21256296400949354,0.061186305184284584,0.06507962217161012,0.05812554967559325,0.0481162911242939,0.0462123387086169,0.04972767104932618,,,
433.milc,0.09900813347097456,0.04220154284394109,0.04076096430866041,0.035087726132208175,0.031057753846246205,0.03044273643172629,0.03477754694621446,0.026143645742647492,,
434.zeusmp,0.1928914373057644,0.05115233065951563,0.04943131771850695,0.04675660794138217,0.03139419507195995,0.027833684305175466,0.01907579491029593,,,
435.gromacs,0.18633729238858765,0.05828715941159268,0.05504331106716699,0.048753891363523955,0.04656144054251132,0.04365506936048492,0.05073444181939896,0.04584630518735164,0.035522480562286796,0.025323748988138134
437.leslie3d,0.1838763088850405,0.06549869254108887,0.05578201422387305,0.043134250959942944,0.045015856047836755,0.03905036631850567,0.0439826188435225,0.02894655462258161,0.026043887417391776,
447.dealII,0.20164471532148942,0.0880658213083404,0.06525805957538805,0.04948864660038979,0.05574370051083222,0.08235324240608548,0.03403818926803209,,,
450.soplex,0.16208212791198262,0.06135935349213156,0.05971677826292032,0.043474008913763906,0.03371279529979376,0.03059863703237692,0.02834999849194153,,,
453.povray,0.19694827858399105,0.06656459074359371,0.050702892793492785,0.04297718051820987,0.04344557326233395,0.04224863451829686,0.0317156386523928,0.03520501141491757,,
454.calculix,0.1727513635125606,0.055407890424539516,0.043920079063586914,0.044980540688332626,0.03067214566086046,0.05127365887485147,0.04657336163181819,0.04610832557957831,0.029311737094319723,
